,pol_short_names,polymer
10,ABS,Acrylonitrile Butadiene Styrene
7,Acrylic,Acrylic
20,C,Cotton
21,CA,Cellulose Acetate
8,Cotton,Cotton
22,EAA,Ethylene Acrylic Acid
24,EVA,Polyethylene Vinyl Acetate
1,Nylon,Nylon
16,PA,Polyamide
19,PBT,Polybutylene Terephthalate
14,PC,Polycarbonate
3,PE,Polyethylene
12,PEA,Polyethylene Adipate
4,PET,Polyethylene Terephthalate
0,PEVA,Polyethylene Vinyl Acetate
5,PLA,Polylactic acid
17,PMMA,Polymethyl Methacrylate
15,PP,Polypropylene
6,PS,Polystyrene
11,PU,Polyurethane
18,PVA,Polyvinyl Acetate
2,PVC,Polyvinyl Chloride
9,Polyester,Polyester
13,R,Rubber
23,SR,SR
